Species,H0,H1
1,10.74326238270879,7.334577429181505
1,10.828934483098765,7.532834184867136
1,10.522917128665398,7.025270860562201
1,10.127132838011029,7.11077657792048
1,10.555184427511168,7.268520350935095
7,9.458479338511825,4.632899152798876
8,9.08115762262128,4.346869288538258
8,9.64001948210591,5.581612938237384
8,9.449011689708852,5.330122810989337
8,8.841216046382293,4.662060689083706
7,9.834160981530733,5.254926824922332
10,8.55708576887057,4.608609062800746
8,10.099895370671291,6.395027553171076
8,9.995796977281305,6.448883644107834
8,9.456938450097017,5.40639051069402
8,10.173085425447825,6.377329026143341
10,9.099974151972749,3.4524543554206932
10,9.323206436663273,4.064438749685365
10,9.407557043260633,4.731200437478831
8,9.719176787438816,5.929607311014199
8,9.068053989375755,4.992045598906198
8,10.266588888931116,6.568344743996959
8,9.249226543391217,5.028273437949526
10,8.833356220315137,3.705798155539269
7,10.885245496979252,6.171384819568602
8,9.313728458481636,5.244135124073419
8,9.243345574415402,5.2356657182206865
8,10.391602731514142,6.831102868603336
7,10.396801918253395,5.546584178008574
7,11.007950427111012,6.689428567969156
7,9.961566901622813,5.498134392807983
7,10.285575017599268,5.497510862430705
10,8.87637955928317,3.2394692188924377
10,9.275219182506321,4.345040965719846
8,9.283641835913084,4.8305202735346064
8,9.424005048710384,4.96302055728863
10,8.674812031900052,4.130986492323581
10,9.17093077081082,4.753163533222624
7,10.248219150530277,5.148471332960271
7,9.998195013939315,4.91151250602603
7,10.10485579965845,5.6744889590171095
7,10.628871942051214,6.283114967343764
10,8.803615363302836,4.35680718815033
10,8.830063972419612,3.545039097785498
10,8.965938869611184,4.022555328804936
7,10.750527365132077,6.178274518155099
7,9.52071060789406,3.4943948820888773
7,10.14469754681249,5.465198252445042
7,10.438613265537617,5.540034765740921
10,9.07691277107115,4.312317562148479
10,8.98274211272625,4.155126676571985
10,9.025407546301125,3.9917987281068013
10,8.793413810295478,3.985806559182717
7,9.338971934720394,3.614171974486732
7,9.83810226528727,5.185850098090958
7,10.157506388966933,5.771523386986463
10,9.310622346925948,3.9193091332465437
10,8.976508012284768,5.0858485095786605
8,10.004031084117406,6.686531917906837
8,9.610286669646852,5.428121999721532
8,10.08954367223964,6.47950130496274
10,8.792155505036636,4.367550788985737
10,9.026665908038702,4.039908079746415
7,10.014406813942244,5.490438582153247
7,10.120072651042088,5.535625188469435
1,10.644321003751227,6.661053212139974
1,10.193744777683301,6.790535990162534
1,10.198194457156902,6.5827500604360765
1,10.549825261179446,6.900260633897528
1,10.726344832971675,7.273422676308756
1,10.573180693289048,6.753631692029902
1,10.645245830375613,7.201924377600041
1,10.6938105891653,7.020580595592399
1,10.656921001615443,7.039152892969102
1,10.66192400113111,7.1480886208756536
1,10.574577296183259,7.03281972983244
1,10.249425062126516,6.767495799358256
1,10.66872378638688,7.176056901935254
1,10.54364014597134,7.13864636638302
1,10.360601526672273,6.640680762238839
